id,exam,subject,chapter,year,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,tags
bf4962e6-893c-494a-b6ea-1e08b36d353c,jee-main,chemistry,some-basic-concepts-of-chemistry,2025,"\(\mathrm{CaCO}_3(\mathrm{~s})+2 \mathrm{HCl}(\mathrm{aq}) \rightarrow \mathrm{CaCl}_2(\mathrm{aq})+\mathrm{CO}_2(\mathrm{~g}) \mathrm{H}_2 \mathrm{O}(\mathrm{l})\)<br />Consider the above reaction, what mass of \(\mathrm{CaCl}_2\) will be formed if 250 mL of 0.76 M HCl reacts with 1000 g of \(\mathrm{CaCO}_3\) ?<br />(Given : Molar mass of \(\mathrm{Ca}, \mathrm{C}, \mathrm{O}, \mathrm{H}\) and Cl are 40, \(12,16,1\) and \(35.5 \mathrm{~g} \mathrm{~mol}^{-1}\), respectively)",3.908 g,2.636 g,10.545 g,5.272 g,c,\(\begin{aligned}<br />& \mathrm{CaCO}_3+2 \mathrm{HCl} \rightarrow \mathrm{CaCl}_2+\mathrm{CO}_2+\mathrm{H}_2 \mathrm{O} \\<br>& \text { Moles of } \mathrm{CaCO}_3=\frac{1000}{100}=10<br />\end{aligned}\)<br />Moles of \(\mathrm{HCl}=0.76 \times \frac{250}{1000}=0.19\) (L.R.)<br />Moles of \(\mathrm{CaCl}_2\) formed \(=\frac{0.19}{2}\)<br />Mass of \(\mathrm{CaCl}_2=\frac{0.19}{2} \times 111=10.545 \mathrm{gm}\),2,
9f89e3f1-3328-4818-89e7-7f302a3deff1,jee-main,chemistry,some-basic-concepts-of-chemistry,2025,"Choose the correct statements.
(A) Weight of a substance is the amount of matter present in it.
(B) Mass is the force exerted by gravity on an object.
(C) Volume is the amount of space occupied by a substance.
(D) Temperatures below \(0^{\circ} \mathrm{C}\) are possible in Celsius scale, but in Kelvin scale negative temperature is not possible.
(E) Precision refers to the closeness of various measurements for the same quantity.
Choose the correct answer from the options given below :","(A), (D) and (E) Only","(C), (D) and (E) Only","(A), (B) and (C) Only","(B), (C) and (D) Only",b,Mass of substance is amount of matter present in it. Weight is force exerted by gravity on object.,2,
f487f56d-4a7a-40bf-ad63-e11c4c5f6632,jee-main,chemistry,some-basic-concepts-of-chemistry,2025,"Concentrated nitric acid is labelled as $75 \%$ by mass. The volume in mL of the solution which contains 30 g of nitric acid is 
____.
Given : Density of nitric acid solution is $1.25 \mathrm{~g} / \mathrm{mL}$.",$40$,$32$,$45$,$55$,b,"$75 \%$ by mass means :
$\because \quad 75 \mathrm{~g} \mathrm{HNO}_3$ in 100 g solution.
$\therefore \quad 30 \mathrm{~g} \mathrm{HNO}_3$ in $\frac{100}{75} \times 30 \mathrm{~g}$ solution.
$\begin{aligned}
& \mathrm{m}_{\text {solution }}=\frac{100 \times 30}{75} \mathrm{~g} \\
\because \quad & \mathrm{~V}_{\text {sol }}=\frac{\mathrm{m}_{\text {sol }}}{\mathrm{d}_{\text {sol }}}=\frac{100 \times 30}{75 \times 1.25}=32 \mathrm{~mL}
\end{aligned}$",2,
7f3fd703-c778-48c6-9eed-3c843ad9bfcf,jee-main,chemistry,some-basic-concepts-of-chemistry,2025,"The elemental composition of a compound is $54.2 \% \mathrm{C}, 9.2 \% \mathrm{H}$ and $36.6 \% \mathrm{O}$.
If the molar mass of the compound is $132 \mathrm{~g} \mathrm{~mol}^{-1}$, the molecular formula of the compound is :
[Given : The relative atomic mass of $\mathrm{C}: \mathrm{H}: \mathrm{O}=12: 1: 16$ ]",$\mathrm{C}_4 \mathrm{H}_9 \mathrm{O}_3$,$\mathrm{C}_6 \mathrm{H}_{12} \mathrm{O}_6$,$\mathrm{C}_4 \mathrm{H}_8 \mathrm{O}_2$,$\mathrm{C}_6 \mathrm{H}_{12} \mathrm{O}_3$,d,"<img src=""[IMAGE REMOVED]""><br>
Molecular mass of compound $=132 \mathrm{~g} \mathrm{~mol}^{-1}$ Molecular formula of compound is $\left(\mathrm{C}_2 \mathrm{H}_4 \mathrm{O}\right)_n$
$\mathrm{n}=\frac{\text { Molecular mass }}{\mathrm{EF} \text { mass }}=\frac{132}{44}=3$
$\therefore$ Molecular formula of compound is $\mathrm{C}_6 \mathrm{H}_{12} \mathrm{O}_3$",1,
c00f8523-9bf1-42fd-8dc1-5967154af894,jee-main,chemistry,some-basic-concepts-of-chemistry,2025,"$2.8 \times 10^{-3} \mathrm{~mol}$ of $\mathrm{CO}_2$ is left after removing $10^{21}$ molecules from its ' $x$ ' mg sample. The mass of $\mathrm{CO}_2$ taken initially is
Given: $\mathrm{N}_{\mathrm{A}}=6.02 \times 10^{23} \mathrm{~mol}^{-1}$",98 .3 mg,48.2 mg,196 .2 mg,150 .4 mg,c,"Moles of removed $\mathrm{CO}_2=\frac{10^{21}}{6.02 \times 10^{23}} \mathrm{~mol}$
$=1.66 \times 10^{-3} \mathrm{~mol}$
mole of $\mathrm{CO}_2$ left $=2.8 \times 10^{-3} \mathrm{moles}$ total moles of $\mathrm{CO}_2$ taken initially
$=(2.8+1.66) \times 10^{-3} \mathrm{~mol}$
mass of $\mathrm{CO}_2$ taken initially
$\begin{aligned}
& =4.46 \times 10^{-3} \times 44 \\
& =196.24 \times 10^{-3} \mathrm{~g} \\
& =196.24 \mathrm{mg}
\end{aligned}$",1,
06d97819-4d07-429c-8ff2-0209f34446ab,jee-main,chemistry,some-basic-concepts-of-chemistry,2025,Density of 3 M NaCl solution is $1.25 \mathrm{~g} / \mathrm{mL}$. The molality of the solution is :,1.79 m,2.79 m,2 m,3 m,b,"$\begin{aligned} & 3 \mathrm{M} \mathrm{NaCl}, \mathrm{d}_{\text {sol }}=1.25 \mathrm{gm} / \mathrm{mol} \\ & \begin{aligned} \text { Molality } & =\frac{\mathrm{M} \times 1000}{1000 \mathrm{~d}-\mathrm{M} \times \mathrm{M}_{\mathrm{W}}} \\ & =\frac{3000}{1250-175.5}=2.79\end{aligned}\end{aligned}$",2,
061ba07a-5a10-4548-8f26-47f6bff613f5,jee-main,chemistry,some-basic-concepts-of-chemistry,2024,"Combustion of glucose \(\left(\mathrm{C}_6 \mathrm{H}_{12} \mathrm{O}_6\right)\) produces \(\mathrm{CO}_2\) and water. The amount of oxygen (in g) required for the complete combustion of \(900 \mathrm{~g}\) of glucose is :
[Molar mass of glucose in \(\mathrm{g} \mathrm{mol}^{-1}=180\) ]",480,800,960,32,c,"$\begin{aligned} & \mathrm{C}_6 \mathrm{H}_{12} \mathrm{O}_{6(\mathrm{~s})}+6 \mathrm{O}_{2(\mathrm{~g})} \longrightarrow 6 \mathrm{CO}_{2(\mathrm{~g})}+6 \mathrm{H}_2 \mathrm{O}_{(\theta)} \\ & \frac{900}{180} \\ & =5 \mathrm{~mol} \quad 30 \mathrm{~mol}\end{aligned}$
Mass of $\mathrm{O}_2$ required $=30 \times 32=960 \mathrm{gm}$",2,
b10ffbee-d495-4bd1-b7da-1934c423aa76,jee-main,chemistry,some-basic-concepts-of-chemistry,2024,"Molality ( \(\mathrm{m}\) ) of \(3 \mathrm{M}\) aqueous solution of \(\mathrm{NaCl}\) is :
(Given : Density of solution \(=1.25 \mathrm{~g} \mathrm{~mL}^{-1}\), Molar mass in \(\mathrm{g} \mathrm{mol}^{-1}: \mathrm{Na}-23, \mathrm{Cl}-35.5\))",\(1.9 \mathrm{~m}\),\(3.85 \mathrm{~m}\),\(2.79 \mathrm{~m}\),\(2.90 \mathrm{~m}\),c,"3 moles are present in 1 litre solution
$\text {molality }=\frac{3 \times 1000}{1.25 \times 1000-[3 \times 58.5]}=2.79 \mathrm{~m}$",1,
1fe29268-4099-434f-89e2-f5a98da0a541,jee-main,chemistry,some-basic-concepts-of-chemistry,2024,"The density of ' \(x\) ' \(\mathrm{M}\) solution (' \(X\) ' molar) of \(\mathrm{NaOH}\) is \(1.12 \mathrm{~g} \mathrm{~mL}^{-1}\), while in molality, the concentration of the solution is \(3 \mathrm{~m}(3 \mathrm{molal})\). Then \(x\) is (Given : Molar mass of \(\mathrm{NaOH}\) is \(40 \mathrm{~g} / \mathrm{mol}\) )",3.5,3.8,2.8,3.0,d,$\begin{aligned} & \text { Molality }=\frac{1000 \times \mathrm{M}}{1000 \times \mathrm{d}-\mathrm{M} \times(\mathrm{Mw})_{\text {solute }}} \\ & 3=\frac{1000 \times \mathrm{x}}{1000 \times 1.12-(\mathrm{x} \times 40)} \\ & \mathrm{x}=3\end{aligned}$,2,
09c8ed27-20f2-41bc-a88c-ef4a1e4e1934,jee-main,chemistry,some-basic-concepts-of-chemistry,2024,"The number of moles of methane required to produce \(11 \mathrm{~g} \mathrm{CO}_2(\mathrm{~g})\) after complete combustion is :
(Given molar mass of methane in \(\mathrm{g} \mathrm{mol}^{-1}: 16\))",0.35,0.5,0.75,0.25,d,"$\mathrm{C}_{\mathrm{n}} \mathrm{H}_{2 \mathrm{n}+2}+\frac{3 \mathrm{n}+1}{2} \mathrm{O}_2 \longrightarrow \mathrm{nCO}_2+(\mathrm{n}+1) \mathrm{H}_2 \mathrm{O}$<br /><img src=""[IMAGE REMOVED]""><br />$0.25 \mathrm{~mol~} \mathrm{CH}_4$ gives $0.25 \mathrm{~mole}$ (or $11 \mathrm{gm}$ ) $\mathrm{CO}_2$",2,
5a0afe93-8039-4e62-833a-45502f17de0f,jee-main,chemistry,some-basic-concepts-of-chemistry,2024,"An organic compound has \(42.1 \%\) carbon, \(6.4 \%\) hydrogen and remainder is oxygen. If its molecular weight is 342, then its molecular formula is :",\(\mathrm{C}_{11} \mathrm{H}_{18} \mathrm{O}_{12}\),\(\mathrm{C}_{12} \mathrm{H}_{20} \mathrm{O}_{12}\),\(\mathrm{C}_{12} \mathrm{H}_{22} \mathrm{O}_{11}\),\(\mathrm{C}_{14} \mathrm{H}_{20} \mathrm{O}_{10}\),c,"only $\mathrm{C}_{12} \mathrm{H}_{22} \mathrm{O}_{11}$ has $42.1 \%$ carbon, $6.4 \%$ hydrogen $\& 51.5$ percent oxygen.",2,
